STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing
GHCND:US1KYFY0014,LEXINGTON 1.7 SW KY US,304.5,38.0164,-84.5193,20100501,338,0,0,-9999,0,0,432,0,0,0,23,22
GHCND:US1KYFY0014,LEXINGTON 1.7 SW KY US,304.5,38.0164,-84.5193,20100601,340,0,0,-9999,0,0,1214,0,0,0,22,13
GHCND:US1KYFY0014,LEXINGTON 1.7 SW KY US,304.5,38.0164,-84.5193,20100701,467,0,0,-9999,0,0,1717,0,0,0,17,4
GHCND:US1KYFY0014,LEXINGTON 1.7 SW KY US,304.5,38.0164,-84.5193,20100801,183,0,0,-9999,0,0,231,0,0,0,16,6
GHCND:US1KYFY0014,LEXINGTON 1.7 SW KY US,304.5,38.0164,-84.5193,20100901,74,0,0,-9999,0,0,115,0,0,0,17,5
GHCND:US1KYFY0014,LEXINGTON 1.7 SW KY US,304.5,38.0164,-84.5193,20101001,302,0,0,-9999,0,0,361,0,0,0,14,3
GHCND:US1KYFY0014,LEXINGTON 1.7 SW KY US,304.5,38.0164,-84.5193,20101101,41,0,0,-9999,0,0,64,0,0,0,6,3
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20071001,0,0,0,-9999,0,0,0,0,0,0,27,27
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20071101,155,0,0,-9999,0,0,533,0,0,0,1,1
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20071201,432,0,0,-9999,0,0,1095,0,0,3,8,4
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20080101,335,0,0,53,18,11,1156,0,0,78,0,0
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20080201,427,0,0,25,21,11,1674,0,0,63,2,2
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20080301,363,0,0,114,7,7,1663,0,0,114,7,3
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20080401,932,0,0,-9999,0,0,1427,0,0,0,1,1
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20080501,328,0,0,-9999,0,0,1227,0,0,0,5,3
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20080601,239,0,0,-9999,0,0,910,0,0,0,4,2
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20080701,429,0,0,-9999,0,0,1189,0,0,0,2,2
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20080801,389,0,0,-9999,0,0,506,0,0,0,4,4
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20080901,91,0,0,-9999,0,0,230,0,0,0,11,5
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20081001,188,0,0,-9999,0,0,264,0,0,0,9,5
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20081101,208,0,0,5,20,20,667,0,0,5,8,4
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20081201,480,0,0,-9999,0,0,1390,0,0,28,15,5
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20090101,709,0,0,64,18,11,1350,0,0,99,9,4
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20090201,208,0,0,64,5,2,320,0,0,0,16,5
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20090301,262,0,0,38,12,12,599,0,0,38,11,3
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20090401,307,0,0,-9999,0,0,728,0,0,0,13,4
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20090501,284,0,0,-9999,0,0,996,0,0,0,23,9
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20090601,310,0,0,-9999,0,0,1243,0,0,0,16,5
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20090701,485,0,0,-9999,0,0,1979,0,0,0,18,8
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20090801,371,0,0,-9999,0,0,945,0,0,0,20,9
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20090901,853,0,0,-9999,0,0,1679,0,0,0,23,15
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20091001,300,0,0,-9999,0,0,852,0,0,0,23,13
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20091101,69,0,0,-9999,0,0,153,0,0,0,12,5
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20091201,478,0,0,25,23,9,1038,0,0,25,18,8
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20100101,124,0,0,102,10,4,339,0,0,140,22,12
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20100201,109,0,0,-9999,0,0,109,0,0,-9999,0,0
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20100301,66,0,0,-9999,0,0,102,0,0,0,28,26
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20100401,241,0,0,-9999,0,0,978,0,0,0,13,6
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20100501,1227,0,0,-9999,0,0,2552,0,0,0,20,10
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20100601,414,0,0,-9999,0,0,713,0,0,0,26,12
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20100701,630,0,0,-9999,0,0,2089,0,0,0,18,11
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20100801,203,0,0,-9999,0,0,346,0,0,0,13,5
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20100901,69,0,0,-9999,0,0,106,0,0,0,21,15
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20101001,284,0,0,-9999,0,0,348,0,0,0,14,4
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20101101,259,0,0,-9999,0,0,326,0,0,0,21,7
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20101201,157,0,0,102,2,2,258,0,0,267,15,8
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20110101,160,0,0,-9999,0,0,313,0,0,178,16,9
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20110201,290,0,0,-9999,0,0,290,0,0,0,18,9
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20110301,76,0,0,-9999,0,0,145,0,0,0,21,9
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20110401,505,0,0,-9999,0,0,1931,0,0,0,27,14
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20110501,627,0,0,-9999,0,0,1349,0,0,0,7,4
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20110601,254,0,0,-9999,0,0,627,0,0,0,4,2
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20110701,373,0,0,-9999,0,0,589,0,0,-9999,0,0
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20110801,483,0,0,-9999,0,0,1140,0,0,0,19,8
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20110901,551,0,0,-9999,0,0,1430,0,0,0,11,5
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20111001,208,0,0,-9999,0,0,218,0,0,0,10,5
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20111101,188,0,0,-9999,0,0,330,0,0,-9999,0,0
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20111201,251,0,0,-9999,0,0,518,0,0,0,9,7
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20120101,221,0,0,-9999,0,0,259,0,0,0,30,30
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20120301,188,0,0,-9999,0,0,188,0,0,0,12,9
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20120701,241,0,0,-9999,0,0,884,0,0,0,27,22
GHCND:US1KYFY0001,LEXINGTON 4.9 SW KY US,289.9,37.9843,-84.5097,20120901,564,0,0,-9999,0,0,844,0,0,0,28,24
